Country,Month,Gasoline 95,Diesel,LPG
Austria,February,€ 1.59,€ 1.67,
Belarus,February,€ 0.92(Br 2.47),€ 0.92(Br 2.47),€ 0.49(Br 1.31)
Belgium,February,€ 1.71,€ 1.70,€ 0.79
Bosnia and Herzegovina,February,€ 1.32(KM 2.59),€ 1.43(KM 2.79),€ 0.77(KM 1.51)
Bulgaria,February,€ 1.30(лв. 2.55),€ 1.44(лв. 2.82),€ 0.59(лв. 1.16)
Croatia,February,€ 1.55,€ 1.58,€ 0.70
Cyprus,February,€ 1.38,€ 1.57,
Czech Republic,February,€ 1.59(Kč 37.60),€ 1.54(Kč 36.50),€ 0.71(Kč 16.70)
Denmark,February,€ 1.98(kr. 14.70),€ 1.75(kr. 13.10),
Estonia,February,€ 1.73,€ 1.70,€ 0.73
Finland,February,€ 1.94,€ 1.99,
France,February,€ 1.91,€ 1.84,€ 0.97
Germany,February,€ 1.82,€ 1.75,€ 1.09
Greece,February,€ 1.90,€ 1.72,
Hungary,February,€ 1.62(Ft 616),€ 1.65(Ft 629),€ 0.97(Ft 369)
Iceland,February,€ 2.12(kr 323),€ 2.14(kr 327),
Ireland,February,€ 1.63,€ 1.71,
Italy,February,€ 1.86,€ 1.84,€ 0.80
Latvia,February,€ 1.63,€ 1.68,€ 0.82
Lithuania,February,€ 1.52,€ 1.62,€ 0.61
Luxembourg,February,€ 1.57,€ 1.55,€ 0.82
Malta,February,€ 1.34,€ 1.21,
Moldova,February,€ 1.24(lei 25.10),€ 1.12(lei 22.60),€ 0.82(lei 16.50)
Netherlands,February,€ 1.82,€ 1.66,€ 0.84
North Macedonia,February,€ 1.33(den 82.60),€ 1.26(den 78.10),€ 0.81(den 50.40)
Norway,February,€ 2.04(kr 21.30),€ 1.90(kr 19.90),
Poland,February,€ 1.42(zł 6.69),€ 1.56(zł 7.32),€ 0.68(zł 3.21)
Portugal,February,€ 1.67,€ 1.54,€ 0.86
Romania,February,€ 1.35(lei 6.68),€ 1.48(lei 7.31),€ 0.81(lei 4.00)
Slovakia,February,€ 1.57,€ 1.55,€ 0.79
Slovenia,February,€ 1.37,€ 1.54,€ 0.93
Spain,February,€ 1.64,€ 1.61,€ 1.01
Sweden,February,€ 1.79(kr 19.10),€ 2.05(kr 21.90),
Switzerland,February,€ 1.84(CHF 1.82),€ 2.05(CHF 2.03),
Turkey,February,€ 1.04(₺ 18.90),€ 1.06(₺ 19.30),
Ukraine,February,€ 1.24(₴ 38.60),€ 1.32(₴ 40.90),€ 0.63(₴ 19.70)
United Kingdom,February,€ 1.67(£ 1.47),€ 1.91(£ 1.68),
