"Country","Month","Gasoline 95","Diesel","LPG"
"Austria","October","€ 1.72","€ 1.96",""
"Belarus","October","€ 0.99(Br 2.45)","€ 0.99(Br 2.45)","€ 0.53(Br 1.32)"
"Belgium","October","€ 1.69","€ 1.91","€ 0.78"
"Bosnia and Herzegovina","October","€ 1.39(KM 2.72)","€ 1.62(KM 3.17)","€ 0.77(KM 1.51)"
"Bulgaria","October","€ 1.45(лв. 2.84)","€ 1.60(лв. 3.14)","€ 0.48(лв. 0.95)"
"Croatia","October","€ 1.44(kn 10.80)","€ 1.77(kn 13.30)","€ 0.97(kn 7.29)"
"Cyprus","October","€ 1.45","€ 1.80",""
"Czech Republic","October","€ 1.56(Kč 38.20)","€ 1.75(Kč 42.90)","€ 0.74(Kč 18.20)"
"Denmark","October","€ 2.03(kr. 15.10)","€ 1.99(kr. 14.80)",""
"Estonia","October","€ 1.80","€ 1.80","€ 0.87"
"Finland","October","€ 1.99","€ 2.07",""
"France","October","€ 1.57","€ 1.70","€ 0.75"
"Germany","October","€ 1.94","€ 2.02","€ 1.07"
"Greece","October","€ 1.98","€ 1.90",""
"Hungary","October","€ 1.20(Ft 511)","€ 1.51(Ft 642)","€ 0.93(Ft 393)"
"Iceland","October","€ 2.28(kr 319)","€ 2.26(kr 317)",""
"Ireland","October","€ 1.73","€ 1.85",""
"Italy","October","€ 1.63","€ 1.74","€ 0.80"
"Latvia","October","€ 1.71","€ 1.76","€ 0.82"
"Lithuania","October","€ 1.65","€ 1.76","€ 0.75"
"Luxembourg","October","€ 1.68","€ 1.84","€ 0.80"
"Malta","October","€ 1.34","€ 1.21",""
"Netherlands","October","€ 1.94","€ 1.95","€ 0.84"
"North Macedonia","October","€ 1.40(den 87.10)","€ 1.51(den 93.60)","€ 0.78(den 48.30)"
"Norway","October","€ 2.19(kr 22.90)","€ 2.20(kr 23.00)",""
"Poland","October","€ 1.33(zł 6.25)","€ 1.51(zł 7.11)","€ 0.64(zł 3.01)"
"Portugal","October","€ 1.70","€ 1.75","€ 0.89"
"Romania","October","€ 1.46(lei 7.24)","€ 1.70(lei 8.42)","€ 0.82(lei 4.04)"
"Slovakia","October","€ 1.64","€ 1.76","€ 0.86"
"Slovenia","October","€ 1.37","€ 1.71","€ 1.00"
"Spain","October","€ 1.68","€ 1.81","€ 1.04"
"Sweden","October","€ 2.01(kr 21.40)","€ 2.33(kr 24.80)",""
"Switzerland","October","€ 1.94(CHF 1.88)","€ 2.25(CHF 2.18)",""
"Turkey","October","€ 1.06(₺  19.20)","€ 1.27(₺  23.00)",""
"Ukraine","October","€ 1.38(₴ 42.80)","€ 1.49(₴ 46.10)","€ 0.72(₴ 22.40)"
"United Kingdom","October","€ 1.87(£ 1.64)","€ 2.07(£ 1.82)",""
